id;client_id;name;description;cookie_enable;cookie_ttl;client_callback
1;Senior Optional Yemeni Rial;Central African Republic;magenta heuristic;true;62755;Maryland Legacy Unbranded Plastic Chips
2;Unbranded Cotton Table Generic B2B;olive;facilitate Persevering;false;7773;Engineer Architect
3;Beauty dynamic schemas;Pound Sterling Keyboard;Licensed Usability models;true;61341;markets Accountability EXE
4;Chair;drive online;Liaison engage navigate;false;96991;generating bypassing Bypass
5;Plastic Movies;SMS;Zimbabwe parse Customer;true;76898;Accounts navigating Ergonomic
6;purple User-friendly;Savings Account;SMTP;true;61812;global
7;Baby;Kyrgyz Republic transmit;solution connecting;true;56093;PNG
8;Connecticut Burg;transmit Credit Card Account;digital Corporate Checking Account;true;35058;New York mesh
9;Unbranded array;Berkshire solid state;middleware Switzerland;true;94952;Granite Configuration Buckinghamshire
10;Practical Steel Chips;Berkshire concept;Illinois robust;true;12887;Rubber Shirt
