id;restricted_input_paths;restricted_output_paths;mask;enable
1;Engineer Toys Fantastic;Licensed;Marketing mobile Cayman Islands Dollar;true
2;Awesome;USB alarm 1080p;feed invoice;true
3;Central;magenta Associate;Argentine Peso Handcrafted Rubber Sausages Officer;true
4;Unions algorithm;Leone;azure;false
5;experiences online program;indexing;South Georgia and the South Sandwich Islands;true
6;payment;Organic Granite;SMS;true
7;models streamline;projection Maldives;withdrawal alarm Timor-Leste;false
8;SSL web-readiness;JBOD Books;sky blue matrix Data;false
9;Garden Licensed Steel Shirt Sleek Granite Tuna;AGP Coordinator;Practical killer Russian Federation;true
10;Music;B2C systematic;program;true
